APPROACH TYPE,TOPIC_LEVEL_1 / ROLE_NAME,CATEGORY-2,CATEGORY-3,CATEGORY-4,CATEGORY-5,CATEGORY-6
topic-based,data foundations & concepts,data literacy & communication,data communication,narrative & storytelling,context setting,background and situation explanation
topic-based,data foundations & concepts,data literacy & communication,data communication,narrative & storytelling,call to action development,recommendation and next steps
topic-based,data foundations & concepts,data literacy & communication,data-driven decision making,decision framework development,decision criteria definition,choice evaluation standards
topic-based,data foundations & concepts,data literacy & communication,data-driven decision making,decision framework development,evidence requirements,data needs for decision making
topic-based,data foundations & concepts,data literacy & communication,data-driven decision making,decision framework development,risk assessment integration,uncertainty and risk consideration
topic-based,data foundations & concepts,data literacy & communication,data-driven decision making,decision framework development,alternative evaluation,option comparison methods
topic-based,data foundations & concepts,data literacy & communication,data-driven decision making,evidence evaluation,data quality assessment,information reliability evaluation
topic-based,data foundations & concepts,data literacy & communication,data-driven decision making,evidence evaluation,source credibility analysis,information source evaluation
topic-based,data foundations & concepts,data literacy & communication,data-driven decision making,evidence evaluation,conflicting evidence resolution,contradictory information management
topic-based,data foundations & concepts,data literacy & communication,data-driven decision making,evidence evaluation,confidence level assessment,certainty and uncertainty evaluation
topic-based,data science,statistical foundations,descriptive statistics,central tendency measures,"mean, median, mode",weighted averages & trimmed means
topic-based,data science,statistical foundations,descriptive statistics,central tendency measures,geometric & harmonic means,applications in rate calculations
topic-based,data science,statistical foundations,descriptive statistics,dispersion measures,variance & standard deviation,population vs sample statistics
topic-based,data science,statistical foundations,descriptive statistics,dispersion measures,range & interquartile range,outlier detection methods
topic-based,data science,statistical foundations,descriptive statistics,distribution shape,skewness & kurtosis,normality testing
topic-based,data science,statistical foundations,descriptive statistics,distribution shape,box plots & histograms,distribution visualization
topic-based,data science,statistical foundations,probability theory,probability distributions,discrete distributions,"binomial, poisson, geometric"
topic-based,data science,statistical foundations,probability theory,probability distributions,continuous distributions,"normal, exponential, beta"
topic-based,data science,statistical foundations,probability theory,bayes' theorem,prior & posterior probabilities,bayesian updating
topic-based,data science,statistical foundations,probability theory,bayes' theorem,likelihood functions,maximum likelihood estimation
topic-based,data science,statistical foundations,hypothesis testing,test design,null & alternative hypotheses,type i & type ii errors
topic-based,data science,statistical foundations,hypothesis testing,test design,power analysis,sample size determination
topic-based,data science,statistical foundations,hypothesis testing,parametric tests,t-tests & z-tests,"one-sample, two-sample, paired"
topic-based,data science,statistical foundations,hypothesis testing,parametric tests,anova & manova,multiple group comparisons
topic-based,data science,statistical foundations,hypothesis testing,non-parametric tests,mann-whitney u test,rank-based comparisons
topic-based,data science,statistical foundations,hypothesis testing,non-parametric tests,chi-square & fisher's exact,categorical data analysis
topic-based,data science,statistical foundations,regression analysis,linear regression,simple linear regression,least squares estimation
topic-based,data science,statistical foundations,regression analysis,linear regression,multiple linear regression,multicollinearity & vif
topic-based,data science,statistical foundations,regression analysis,logistic regression,binary classification,odds ratios & log-odds
topic-based,data science,statistical foundations,regression analysis,logistic regression,multinomial logistic,multi-class classification
topic-based,data science,statistical foundations,regression analysis,advanced regression,polynomial regression,curve fitting & overfitting
topic-based,data science,statistical foundations,regression analysis,advanced regression,ridge & lasso regression,regularization techniques
topic-based,data science,machine learning,supervised learning,classification algorithms,decision trees,"cart, id3, c4.5 algorithms"
topic-based,data science,machine learning,supervised learning,classification algorithms,random forests,bagging & feature importance
topic-based,data science,machine learning,supervised learning,classification algorithms,support vector machines,kernel tricks & hyperplanes
topic-based,data science,machine learning,supervised learning,classification algorithms,naive bayes,probabilistic classification
topic-based,data science,machine learning,supervised learning,classification algorithms,k-nearest neighbors,distance metrics & k selection
topic-based,data science,machine learning,supervised learning,classification algorithms,gradient boosting,"xgboost, lightgbm, catboost"
topic-based,data science,machine learning,supervised learning,regression algorithms,tree-based regression,regression trees & ensembles
topic-based,data science,machine learning,supervised learning,regression algorithms,neural network regression,feed-forward networks
topic-based,data science,machine learning,unsupervised learning,clustering,partitioning methods,k-means & k-medoids
topic-based,data science,machine learning,unsupervised learning,clustering,hierarchical clustering,agglomerative & divisive
topic-based,data science,machine learning,unsupervised learning,clustering,density-based clustering,dbscan & optics
topic-based,data science,machine learning,unsupervised learning,clustering,gaussian mixture models,expectation-maximization
topic-based,data science,machine learning,unsupervised learning,dimensionality reduction,linear methods,pca & lda
topic-based,data science,machine learning,unsupervised learning,dimensionality reduction,non-linear methods,t-sne & umap
topic-based,data science,machine learning,unsupervised learning,dimensionality reduction,autoencoders,variational autoencoders
topic-based,data science,machine learning,unsupervised learning,anomaly detection,statistical methods,z-score & iqr methods
topic-based,data science,machine learning,unsupervised learning,anomaly detection,machine learning methods,isolation forest & one-class svm
topic-based,data science,machine learning,reinforcement learning,core concepts,markov decision processes,"states, actions, rewards"
topic-based,data science,machine learning,reinforcement learning,core concepts,exploration vs exploitation,epsilon-greedy & ucb
topic-based,data science,machine learning,reinforcement learning,algorithms,value-based methods,q-learning & sarsa
topic-based,data science,machine learning,reinforcement learning,algorithms,policy-based methods,policy gradient & reinforce
topic-based,data science,machine learning,reinforcement learning,algorithms,actor-critic methods,a3c & ppo
topic-based,data science,machine learning,model evaluation,performance metrics,classification metrics,"accuracy, precision, recall, f1"
topic-based,data science,machine learning,model evaluation,performance metrics,regression metrics,"mse, rmse, mae, r-squared"
topic-based,data science,machine learning,model evaluation,performance metrics,ranking metrics,"auc-roc, auc-pr, ndcg"
topic-based,data science,machine learning,model evaluation,validation strategies,cross-validation,"k-fold, stratified, time series"
topic-based,data science,machine learning,model evaluation,validation strategies,hold-out validation,train-validation-test split
topic-based,data science,machine learning,model evaluation,model selection,hyperparameter tuning,grid search & random search
topic-based,data science,machine learning,model evaluation,model selection,bayesian optimization,gaussian process optimization
topic-based,data science,machine learning,feature engineering,feature creation,domain-specific features,business logic features
topic-based,data science,machine learning,feature engineering,feature creation,interaction features,polynomial & cross features
topic-based,data science,machine learning,feature engineering,feature transformation,scaling & normalization,standardscaler & minmaxscaler
topic-based,data science,machine learning,feature engineering,feature transformation,encoding categorical,one-hot & target encoding
topic-based,data science,machine learning,feature engineering,feature selection,filter methods,correlation & mutual information
topic-based,data science,machine learning,feature engineering,feature selection,wrapper methods,rfe & forward selection
topic-based,data science,machine learning,feature engineering,feature selection,embedded methods,l1 regularization & tree importance
topic-based,data science,deep learning,neural network fundamentals,architecture components,neurons & layers,"input, hidden, output layers"
topic-based,data science,deep learning,neural network fundamentals,architecture components,activation functions,"relu, sigmoid, tanh, softmax"
topic-based,data science,deep learning,neural network fundamentals,architecture components,loss functions,"cross-entropy, mse, hinge loss"
topic-based,data science,deep learning,neural network fundamentals,training process,backpropagation,gradient calculation & chain rule
topic-based,data science,deep learning,neural network fundamentals,training process,optimization algorithms,"sgd, adam, rmsprop, adagrad"
topic-based,data science,deep learning,neural network fundamentals,training process,learning rate scheduling,"step decay, exponential, cosine"
topic-based,data science,deep learning,neural network fundamentals,regularization,dropout & batch norm,preventing overfitting
topic-based,data science,deep learning,neural network fundamentals,regularization,weight initialization,"xavier, he initialization"
topic-based,data science,deep learning,convolutional neural networks,cnn architecture,convolutional layers,"filters, kernels, stride"
topic-based,data science,deep learning,convolutional neural networks,cnn architecture,pooling layers,"max pooling, average pooling"
topic-based,data science,deep learning,convolutional neural networks,cnn architectures,classic networks,"lenet, alexnet, vggnet"
topic-based,data science,deep learning,convolutional neural networks,cnn architectures,modern networks,"resnet, densenet, efficientnet"
topic-based,data science,deep learning,convolutional neural networks,cnn applications,image classification,multi-class & multi-label
topic-based,data science,deep learning,convolutional neural networks,cnn applications,object detection,"yolo, r-cnn, ssd"
topic-based,data science,deep learning,recurrent neural networks,rnn architecture,vanilla rnns,sequential processing
topic-based,data science,deep learning,recurrent neural networks,rnn architecture,lstm & gru,long-term dependencies
topic-based,data science,deep learning,recurrent neural networks,rnn applications,sequence-to-sequence,machine translation
topic-based,data science,deep learning,recurrent neural networks,rnn applications,time series forecasting,multi-step prediction
topic-based,data science,deep learning,transformer models,architecture,self-attention mechanism,multi-head attention
topic-based,data science,deep learning,transformer models,architecture,positional encoding,sinusoidal & learned
topic-based,data science,deep learning,transformer models,pre-trained models,bert & variants,"roberta, albert, distilbert"
topic-based,data science,deep learning,transformer models,pre-trained models,gpt family,"gpt-2, gpt-3, gpt-4"
topic-based,data science,deep learning,generative models,gans,gan architecture,generator & discriminator
topic-based,data science,deep learning,generative models,gans,gan variants,"dcgan, stylegan, cyclegan"
topic-based,data science,deep learning,generative models,diffusion models,ddpm & ddim,denoising process
topic-based,data science,deep learning,generative models,diffusion models,stable diffusion,text-to-image generation
topic-based,data science,data engineering,data collection,data sources,structured data,databases & data warehouses
topic-based,data science,data engineering,data collection,data sources,unstructured data,"text, images, audio, video"
topic-based,data science,data engineering,data collection,data sources,streaming data,iot sensors & event streams
topic-based,data science,data engineering,data collection,web scraping,html parsing,beautifulsoup & scrapy
topic-based,data science,data engineering,data collection,web scraping,api integration,rest & graphql apis
topic-based,data science,data engineering,data collection,web scraping,browser automation,selenium & playwright
topic-based,data science,data engineering,data storage,relational databases,sql databases,"postgresql, mysql, oracle"
topic-based,data science,data engineering,data storage,relational databases,query optimization,indexing & partitioning
topic-based,data science,data engineering,data storage,nosql databases,document stores,"mongodb, couchdb"
topic-based,data science,data engineering,data storage,nosql databases,key-value stores,"redis, dynamodb"
topic-based,data science,data engineering,data storage,nosql databases,graph databases,"neo4j, amazon neptune"
topic-based,data science,data engineering,data storage,nosql databases,column-family stores,"cassandra, hbase"
topic-based,data science,data engineering,data storage,data lakes,object storage,"s3, azure blob, gcs"
topic-based,data science,data engineering,data storage,data lakes,file formats,"parquet, orc, avro"
topic-based,data science,data engineering,etl/elt pipelines,pipeline design,batch processing,scheduled jobs & dependencies
topic-based,data science,data engineering,etl/elt pipelines,pipeline design,stream processing,real-time data processing
topic-based,data science,data engineering,etl/elt pipelines,pipeline orchestration,workflow management,"airflow, prefect, dagster"
topic-based,data science,data engineering,etl/elt pipelines,pipeline orchestration,task scheduling,cron jobs & event triggers
topic-based,data science,data engineering,etl/elt pipelines,data transformation,data cleaning,deduplication & validation
topic-based,data science,data engineering,etl/elt pipelines,data transformation,data integration,joining & merging datasets
topic-based,data science,data engineering,data quality,quality metrics,data completeness,missing value analysis
topic-based,data science,data engineering,data quality,quality metrics,data accuracy,validation rules & checks
topic-based,data science,data engineering,data quality,quality metrics,data consistency,referential integrity
topic-based,data science,data engineering,data quality,quality monitoring,automated testing,unit & integration tests
topic-based,data science,data engineering,data quality,quality monitoring,data profiling,statistical summaries
topic-based,data science,data analysis,exploratory data analysis,data profiling,summary statistics,descriptive analysis
topic-based,data science,data analysis,exploratory data analysis,data profiling,data types & schemas,structure discovery
topic-based,data science,data analysis,exploratory data analysis,visualization,univariate analysis,histograms & density plots
topic-based,data science,data analysis,exploratory data analysis,visualization,bivariate analysis,scatter plots & correlation
topic-based,data science,data analysis,exploratory data analysis,visualization,multivariate analysis,pair plots & heatmaps
topic-based,data science,data analysis,exploratory data analysis,pattern discovery,trend analysis,moving averages & smoothing
topic-based,data science,data analysis,exploratory data analysis,pattern discovery,seasonality detection,decomposition methods
topic-based,data science,data analysis,business intelligence,kpi development,metric definition,business metrics framework
topic-based,data science,data analysis,business intelligence,kpi development,leading vs lagging,predictive indicators
topic-based,data science,data analysis,business intelligence,dashboard design,visualization best practices,chart selection & design
topic-based,data science,data analysis,business intelligence,dashboard design,interactive dashboards,filters & drill-downs
topic-based,data science,data analysis,business intelligence,reporting,automated reports,scheduled generation
topic-based,data science,data analysis,business intelligence,reporting,ad-hoc analysis,self-service analytics
topic-based,data science,data analysis,time series analysis,components,trend & seasonality,decomposition methods
topic-based,data science,data analysis,time series analysis,components,cyclical patterns,long-term fluctuations
topic-based,data science,data analysis,time series analysis,forecasting methods,statistical models,"arima, sarima, var"
topic-based,data science,data analysis,time series analysis,forecasting methods,exponential smoothing,holt-winters method
topic-based,data science,data analysis,time series analysis,forecasting methods,prophet,facebook's forecasting tool
topic-based,data science,data analysis,time series analysis,forecasting methods,neural networks,lstm & transformer models
topic-based,data science,data analysis,causal inference,experimental design,a/b testing,randomization & control
topic-based,data science,data analysis,causal inference,experimental design,multi-armed bandits,thompson sampling
topic-based,data science,data analysis,causal inference,quasi-experimental,difference-in-differences,natural experiments
topic-based,data science,data analysis,causal inference,quasi-experimental,regression discontinuity,threshold effects
topic-based,data science,data analysis,causal inference,observational studies,propensity score matching,covariate balance
topic-based,data science,data analysis,causal inference,observational studies,instrumental variables,two-stage least squares
topic-based,data science,big data,distributed computing,frameworks,apache spark,rdds & dataframes
topic-based,data science,big data,distributed computing,frameworks,apache spark,spark sql & mllib
topic-based,data science,big data,distributed computing,frameworks,dask,parallel python computing
topic-based,data science,big data,distributed computing,frameworks,ray,distributed ai/ml
topic-based,data science,big data,distributed computing,mapreduce,hadoop ecosystem,hdfs & yarn
topic-based,data science,big data,distributed computing,mapreduce,job design,mappers & reducers
topic-based,data science,big data,stream processing,platforms,apache kafka,topics & partitions
topic-based,data science,big data,stream processing,platforms,apache flink,stateful processing
topic-based,data science,big data,stream processing,platforms,apache storm,real-time computation
topic-based,data science,big data,stream processing,platforms,amazon kinesis,managed streaming
topic-based,data science,big data,data warehousing,modern warehouses,snowflake,cloud-native architecture
topic-based,data science,big data,data warehousing,modern warehouses,bigquery,serverless analytics
topic-based,data science,big data,data warehousing,modern warehouses,redshift,columnar storage
topic-based,data science,big data,data warehousing,modern warehouses,databricks,lakehouse architecture
topic-based,data science,computer vision,image processing,preprocessing,image enhancement,filtering & denoising
topic-based,data science,computer vision,image processing,preprocessing,image transformation,"rotation, scaling, cropping"
topic-based,data science,computer vision,image processing,feature detection,edge detection,"sobel, canny, laplacian"
topic-based,data science,computer vision,image processing,feature detection,corner detection,"harris, fast, orb"
topic-based,data science,computer vision,image processing,feature detection,blob detection,"sift, surf, brief"
topic-based,data science,computer vision,object detection,detection models,two-stage detectors,r-cnn family
topic-based,data science,computer vision,object detection,detection models,one-stage detectors,"yolo, ssd, retinanet"
topic-based,data science,computer vision,object detection,instance segmentation,mask r-cnn,pixel-level classification
topic-based,data science,computer vision,object detection,instance segmentation,panoptic segmentation,scene understanding
topic-based,data science,computer vision,face recognition,face detection,haar cascades,classical approach
topic-based,data science,computer vision,face recognition,face detection,deep learning methods,"mtcnn, retinaface"
topic-based,data science,computer vision,face recognition,face embedding,facenet,triplet loss
topic-based,data science,computer vision,face recognition,face embedding,arcface,angular margin loss
topic-based,data science,computer vision,video analysis,action recognition,3d cnns,spatiotemporal features
topic-based,data science,computer vision,video analysis,action recognition,two-stream networks,optical flow
topic-based,data science,computer vision,video analysis,object tracking,single object tracking,correlation filters
topic-based,data science,computer vision,video analysis,object tracking,multiple object tracking,"deepsort, fairmot"
topic-based,data science,natural language processing,text preprocessing,tokenization,word tokenization,whitespace & punctuation
topic-based,data science,natural language processing,text preprocessing,tokenization,subword tokenization,"bpe, wordpiece, sentencepiece"
topic-based,data science,natural language processing,text preprocessing,text cleaning,normalization,lowercasing & stemming
topic-based,data science,natural language processing,text preprocessing,text cleaning,lemmatization,morphological analysis
topic-based,data science,natural language processing,text preprocessing,text cleaning,stop word removal,language-specific filtering
topic-based,data science,natural language processing,text representation,traditional methods,bag of words,term frequency
topic-based,data science,natural language processing,text representation,traditional methods,tf-idf,term weighting
topic-based,data science,natural language processing,text representation,word embeddings,word2vec,skip-gram & cbow
topic-based,data science,natural language processing,text representation,word embeddings,glove,global vectors
topic-based,data science,natural language processing,text representation,word embeddings,fasttext,subword information
topic-based,data science,natural language processing,text representation,contextual embeddings,elmo,bidirectional lstm
topic-based,data science,natural language processing,text representation,contextual embeddings,bert embeddings,transformer-based
topic-based,data science,natural language processing,nlp tasks,text classification,sentiment analysis,polarity detection
topic-based,data science,natural language processing,nlp tasks,text classification,topic modeling,"lda, nmf, bertopic"
topic-based,data science,natural language processing,nlp tasks,text classification,intent recognition,chatbot applications
topic-based,data science,natural language processing,nlp tasks,named entity recognition,entity types,"person, location, organization"
topic-based,data science,natural language processing,nlp tasks,named entity recognition,ner models,"crf, bilstm-crf, bert-ner"
topic-based,data science,natural language processing,nlp tasks,information extraction,relation extraction,entity relationships
topic-based,data science,natural language processing,nlp tasks,information extraction,event extraction,temporal information
topic-based,data science,natural language processing,nlp tasks,question answering,extractive qa,span selection
topic-based,data science,natural language processing,nlp tasks,question answering,generative qa,answer generation
topic-based,data science,natural language processing,language generation,text generation,language models,"n-grams, rnns, transformers"
topic-based,data science,natural language processing,language generation,text generation,controlled generation,prompt engineering
topic-based,data science,natural language processing,language generation,machine translation,neural mt,sequence-to-sequence
topic-based,data science,natural language processing,language generation,machine translation,multilingual models,"mbert, xlm-r"
topic-based,data science,natural language processing,language generation,summarization,extractive methods,sentence selection
topic-based,data science,natural language processing,language generation,summarization,abstractive methods,paraphrasing & rewriting
topic-based,data science,mlops,model development,version control,code versioning,git & github/gitlab
topic-based,data science,mlops,model development,version control,data versioning,"dvc, delta lake"
topic-based,data science,mlops,model development,version control,model registry,"mlflow, weights & biases"
topic-based,data science,mlops,model development,experiment tracking,hyperparameters,parameter logging
topic-based,data science,mlops,model development,experiment tracking,metrics tracking,performance monitoring
topic-based,data science,mlops,model development,experiment tracking,artifact management,model checkpoints
topic-based,data science,mlops,model deployment,deployment strategies,batch inference,scheduled predictions
topic-based,data science,mlops,model deployment,deployment strategies,real-time serving,rest apis & grpc
topic-based,data science,mlops,model deployment,deployment strategies,edge deployment,mobile & iot devices
topic-based,data science,mlops,model deployment,containerization,docker,container images
topic-based,data science,mlops,model deployment,containerization,kubernetes,orchestration & scaling
topic-based,data science,mlops,model deployment,model serving,tensorflow serving,tf model deployment
topic-based,data science,mlops,model deployment,model serving,torchserve,pytorch deployment
topic-based,data science,mlops,model deployment,model serving,triton inference server,multi-framework support
topic-based,data science,mlops,model monitoring,performance monitoring,prediction metrics,accuracy tracking
topic-based,data science,mlops,model monitoring,performance monitoring,latency & throughput,system performance
topic-based,data science,mlops,model monitoring,data drift,feature drift,distribution changes
topic-based,data science,mlops,model monitoring,data drift,concept drift,label shift detection
topic-based,data science,mlops,model monitoring,model retraining,trigger conditions,performance thresholds
topic-based,data science,mlops,model monitoring,model retraining,continuous learning,online learning
topic-based,data science,mlops,ci/cd for ml,pipeline automation,build pipelines,model training automation
topic-based,data science,mlops,ci/cd for ml,pipeline automation,test pipelines,model validation tests
topic-based,data science,mlops,ci/cd for ml,pipeline automation,deploy pipelines,automated rollout
topic-based,data science,mlops,ci/cd for ml,infrastructure as code,terraform,cloud resource management
topic-based,data science,mlops,ci/cd for ml,infrastructure as code,cloudformation,aws infrastructure
topic-based,data science,data governance,data privacy,regulations,gdpr compliance,eu data protection
topic-based,data science,data governance,data privacy,regulations,ccpa compliance,california privacy rights
topic-based,data science,data governance,data privacy,regulations,hipaa compliance,healthcare data
topic-based,data science,data governance,data privacy,privacy techniques,data anonymization,pii removal
topic-based,data science,data governance,data privacy,privacy techniques,differential privacy,noise addition
topic-based,data science,data governance,data privacy,privacy techniques,federated learning,decentralized training
topic-based,data science,data governance,data ethics,bias & fairness,bias detection,demographic parity
topic-based,data science,data governance,data ethics,bias & fairness,bias mitigation,re-weighting & re-sampling
topic-based,data science,data governance,data ethics,bias & fairness,fairness metrics,equal opportunity
topic-based,data science,data governance,data ethics,model interpretability,global explanations,feature importance
topic-based,data science,data governance,data ethics,model interpretability,local explanations,lime & shap
topic-based,data science,data governance,data ethics,model interpretability,counterfactual explanations,what-if analysis
topic-based,data science,data governance,data management,data lineage,tracking data flow,source to target mapping
topic-based,data science,data governance,data management,data lineage,impact analysis,dependency tracking
topic-based,data science,data governance,data management,metadata management,data catalogs,schema documentation
topic-based,data science,data governance,data management,metadata management,business glossary,term definitions
topic-based,data science,data governance,data security,access control,role-based access,user permissions
topic-based,data science,data governance,data security,access control,data encryption,at-rest & in-transit
topic-based,data science,data governance,data security,audit & compliance,activity logging,access tracking
topic-based,data science,data governance,data security,audit & compliance,compliance reporting,regulatory documentation
topic-based,data science,cloud platforms,aws for data science,compute services,ec2 & emr,virtual machines & clusters
topic-based,data science,cloud platforms,aws for data science,compute services,sagemaker,managed ml platform
topic-based,data science,cloud platforms,aws for data science,compute services,lambda,serverless functions
topic-based,data science,cloud platforms,aws for data science,storage services,s3 & efs,object & file storage
topic-based,data science,cloud platforms,aws for data science,analytics services,athena & glue,query & etl services
topic-based,data science,cloud platforms,azure for data science,compute services,virtual machines,compute instances
topic-based,data science,cloud platforms,azure for data science,compute services,azure ml,machine learning service
topic-based,data science,cloud platforms,azure for data science,compute services,azure databricks,spark platform
topic-based,data science,cloud platforms,azure for data science,storage services,blob storage,object storage
topic-based,data science,cloud platforms,azure for data science,analytics services,synapse analytics,data warehousing
topic-based,data science,cloud platforms,gcp for data science,compute services,compute engine,virtual machines
topic-based,data science,cloud platforms,gcp for data science,compute services,vertex ai,ml platform
topic-based,data science,cloud platforms,gcp for data science,compute services,cloud functions,serverless computing
topic-based,data science,cloud platforms,gcp for data science,storage services,cloud storage,object storage
topic-based,data science,cloud platforms,gcp for data science,analytics services,bigquery,data warehouse
topic-based,data science,tools & programming,programming languages,python,data libraries,"pandas, numpy, scipy"
topic-based,data science,tools & programming,programming languages,python,ml libraries,"scikit-learn, xgboost"
topic-based,data science,tools & programming,programming languages,python,dl frameworks,"tensorflow, pytorch, keras"
topic-based,data science,tools & programming,programming languages,python,visualization,"matplotlib, seaborn, plotly"
topic-based,data science,tools & programming,programming languages,r,data manipulation,"dplyr, tidyr, data.table"
topic-based,data science,tools & programming,programming languages,r,statistical packages,"stats, forecast, caret"
topic-based,data science,tools & programming,programming languages,r,visualization,"ggplot2, plotly, shiny"
topic-based,data science,tools & programming,programming languages,sql,query writing,"select, join, group by"
topic-based,data science,tools & programming,programming languages,sql,window functions,"row_number, rank, lag"
topic-based,data science,tools & programming,programming languages,sql,query optimization,execution plans & indexes
topic-based,data science,tools & programming,programming languages,scala,spark development,rdd & dataframe api
topic-based,data science,tools & programming,programming languages,julia,scientific computing,high-performance computing
topic-based,data science,tools & programming,development tools,ides & notebooks,jupyter & jupyterlab,interactive development
topic-based,data science,tools & programming,development tools,ides & notebooks,vs code,code editor
topic-based,data science,tools & programming,development tools,ides & notebooks,rstudio,r development
topic-based,data science,tools & programming,development tools,ides & notebooks,databricks notebooks,cloud notebooks
topic-based,data science,tools & programming,development tools,ides & notebooks,google colab,free gpu access
topic-based,data science,tools & programming,visualization tools,bi platforms,tableau,drag-and-drop viz
topic-based,data science,tools & programming,visualization tools,bi platforms,power bi,microsoft analytics
topic-based,data science,tools & programming,visualization tools,bi platforms,looker,data modeling
topic-based,data science,tools & programming,visualization tools,bi platforms,qlik sense,associative model
topic-based,data science,tools & programming,visualization tools,programming libraries,d3.js,web visualizations
topic-based,data science,tools & programming,visualization tools,programming libraries,bokeh,interactive plots
topic-based,data science,tools & programming,visualization tools,programming libraries,altair,declarative viz
topic-based,database management,architecture & design,system architecture,single-tier,desktop applications,standalone systems
topic-based,database management,architecture & design,system architecture,single-tier,desktop applications,file-based storage
topic-based,database management,architecture & design,system architecture,single-tier,desktop applications,local data processing
topic-based,database management,architecture & design,system architecture,two-tier,client-server model,direct database connection
topic-based,database management,architecture & design,system architecture,two-tier,client-server model,odbc/jdbc connectivity
topic-based,database management,architecture & design,system architecture,two-tier,client-server model,thick client applications
topic-based,database management,architecture & design,system architecture,two-tier,server components,database engine
topic-based,database management,architecture & design,system architecture,two-tier,server components,connection management
topic-based,database management,architecture & design,system architecture,three-tier,presentation layer,web interface
topic-based,database management,architecture & design,system architecture,three-tier,presentation layer,mobile applications
topic-based,database management,architecture & design,system architecture,three-tier,presentation layer,desktop clients
topic-based,database management,architecture & design,system architecture,three-tier,application layer,business logic
topic-based,database management,architecture & design,system architecture,three-tier,application layer,api services
topic-based,database management,architecture & design,system architecture,three-tier,application layer,middleware components
topic-based,database management,architecture & design,system architecture,three-tier,data layer,database servers
topic-based,database management,architecture & design,system architecture,three-tier,data layer,data access objects
topic-based,database management,architecture & design,system architecture,n-tier,service-oriented,microservices
topic-based,database management,architecture & design,system architecture,n-tier,service-oriented,web services
topic-based,database management,architecture & design,system architecture,n-tier,service-oriented,rest apis
topic-based,database management,architecture & design,system architecture,n-tier,service-oriented,graphql endpoints
topic-based,database management,architecture & design,database components,storage manager,data files,primary data files
topic-based,database management,architecture & design,database components,storage manager,data files,secondary data files
topic-based,database management,architecture & design,database components,storage manager,data files,log files
topic-based,database management,architecture & design,database components,storage manager,buffer manager,buffer pool
topic-based,database management,architecture & design,database components,storage manager,buffer manager,page cache
topic-based,database management,architecture & design,database components,storage manager,buffer manager,memory management
topic-based,database management,architecture & design,database components,storage manager,file manager,file organization
topic-based,database management,architecture & design,database components,storage manager,file manager,space allocation
topic-based,database management,architecture & design,database components,query processor,query parser,syntax analysis
topic-based,database management,architecture & design,database components,query processor,query parser,semantic analysis
topic-based,database management,architecture & design,database components,query processor,query optimizer,cost-based optimization
topic-based,database management,architecture & design,database components,query processor,query optimizer,rule-based optimization
topic-based,database management,architecture & design,database components,query processor,query optimizer,plan generation
topic-based,database management,architecture & design,database components,query processor,query executor,plan execution
topic-based,database management,architecture & design,database components,query processor,query executor,result processing
topic-based,database management,architecture & design,database components,transaction manager,acid properties,atomicity
topic-based,database management,architecture & design,database components,transaction manager,acid properties,consistency
topic-based,database management,architecture & design,database components,transaction manager,acid properties,isolation
topic-based,database management,architecture & design,database components,transaction manager,acid properties,durability
topic-based,database management,architecture & design,database components,transaction manager,concurrency control,locking mechanisms
topic-based,database management,architecture & design,database components,transaction manager,concurrency control,mvcc
topic-based,database management,architecture & design,database components,transaction manager,concurrency control,timestamp ordering
topic-based,database management,architecture & design,database components,transaction manager,recovery manager,log management
topic-based,database management,architecture & design,database components,transaction manager,recovery manager,checkpoint processing
topic-based,database management,architecture & design,data models,relational model,tables & relations,primary keys
topic-based,database management,architecture & design,data models,relational model,tables & relations,foreign keys
topic-based,database management,architecture & design,data models,relational model,tables & relations,constraints
topic-based,database management,architecture & design,data models,relational model,normalization,1nf
topic-based,database management,architecture & design,data models,relational model,normalization,2nf
topic-based,database management,architecture & design,data models,relational model,normalization,3nf
topic-based,database management,architecture & design,data models,relational model,normalization,bcnf
topic-based,database management,architecture & design,data models,relational model,normalization,4nf/5nf
topic-based,database management,architecture & design,data models,nosql models,document stores,json documents
topic-based,database management,architecture & design,data models,nosql models,document stores,bson format
topic-based,database management,architecture & design,data models,nosql models,document stores,schema flexibility
topic-based,database management,architecture & design,data models,nosql models,key-value stores,simple pairs
topic-based,database management,architecture & design,data models,nosql models,key-value stores,hash tables
topic-based,database management,architecture & design,data models,nosql models,key-value stores,cache storage
topic-based,database management,architecture & design,data models,nosql models,column-family,wide column stores
topic-based,database management,architecture & design,data models,nosql models,column-family,column families
topic-based,database management,architecture & design,data models,nosql models,column-family,super columns
topic-based,database management,architecture & design,data models,nosql models,graph databases,nodes & edges
topic-based,database management,architecture & design,data models,nosql models,graph databases,properties
topic-based,database management,architecture & design,data models,nosql models,graph databases,traversal algorithms
topic-based,database management,architecture & design,data models,object-oriented,object persistence,object mapping
topic-based,database management,architecture & design,data models,object-oriented,object persistence,inheritance support
topic-based,database management,architecture & design,data models,object-oriented,class hierarchies,type systems
topic-based,database management,architecture & design,data models,object-oriented,class hierarchies,method storage
topic-based,database management,relational databases,oracle database,enterprise features,real application clusters,node management
topic-based,database management,relational databases,oracle database,enterprise features,real application clusters,load balancing
topic-based,database management,relational databases,oracle database,enterprise features,real application clusters,failover capabilities
topic-based,database management,relational databases,oracle database,enterprise features,partitioning,range partitioning
topic-based,database management,relational databases,oracle database,enterprise features,partitioning,list partitioning
